p_x,p_y,p_z,dp_x,dp_y,dp_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z
-0.171493,1.48628,-0.989288,-0.329298,-0.0378728,0.0578463,0.703932,-0.00576984,-0.00227809,0.71024,-0.0103587,-0.0885908,0.0276722
-0.174798,1.48582,-0.988801,-0.32945,-0.0388008,0.0567093,0.703882,-0.00563385,-0.0024498,0.710291,-0.0106986,-0.086186,0.0279639
-0.174798,1.48582,-0.988801,-0.32945,-0.0388008,0.0567093,0.703831,-0.00549944,-0.0026193,0.710341,-0.0101665,-0.0859939,0.0283083
-0.178096,1.48536,-0.988326,-0.329052,-0.0396645,0.0554679,0.70378,-0.0053666,-0.00278663,0.710392,-0.0103511,-0.084091,0.0286119
-0.178096,1.48536,-0.988326,-0.329052,-0.0396645,0.0554679,0.703728,-0.00523611,-0.00295129,0.710444,-0.00994486,-0.0832698,0.0289567
-0.181387,1.48489,-0.987866,-0.329296,-0.0406463,0.0543242,0.703675,-0.00510926,-0.00311272,0.710496,-0.0103945,-0.0805942,0.0292505
-0.181387,1.48489,-0.987866,-0.329296,-0.0406463,0.0543242,0.703622,-0.00498424,-0.00327191,0.710549,-0.00989682,-0.080454,0.0295973
-0.18467,1.48441,-0.987418,-0.329163,-0.0415955,0.0531158,0.703569,-0.00486166,-0.00342877,0.710602,-0.0102672,-0.078303,0.0298928
-0.18467,1.48441,-0.987418,-0.329163,-0.0415955,0.0531158,0.703514,-0.00474044,-0.00358364,0.710656,-0.00971668,-0.0781659,0.030242
-0.187943,1.48392,-0.986985,-0.329189,-0.0425705,0.0519265,0.703459,-0.00462154,-0.0037362,0.710711,-0.0100807,-0.076079,0.0305396
-0.187943,1.48392,-0.986985,-0.329189,-0.0425705,0.0519265,0.703404,-0.00450364,-0.00388707,0.710765,-0.00950591,-0.0762013,0.0308904
-0.191207,1.48341,-0.986566,-0.328615,-0.0435038,0.0506333,0.703348,-0.00438761,-0.00403602,0.710821,-0.00985651,-0.0743383,0.0311894
-0.191207,1.48341,-0.986566,-0.328615,-0.0435038,0.0506333,0.703291,-0.00427293,-0.00418299,0.710877,-0.00931712,-0.0740176,0.0315423
